FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,edge_size,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,300,relative,"15,32","14,85","14,96","15,13","15,27","15,31","15,4","15,6","15,83","15,99","16,1","16,18","16,4","16,59","16,79","16,87",17,"17,29","17,56","17,82","17,99","18,17","18,31","18,4","18,46","18,55","18,7","18,75","18,86",19,"19,12","19,4","19,57","19,77","19,97","20,21","20,62","21,4"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,300,value,"65445257,96","63336657,11","63460350,46","63827120,14","64072858,86","64094316,91","64247433,91","64769872,74","65416768,64","65710610,48","65737918,6","65710445,01","66221565,49","66615699,34","67051115,02","67101928,28","67307563,65","68059182,11","68589792,68","69062573,23","69341096,89","69757942,03","70061619,7","70165502,08","70230298,67","70530348,05","70982549,86","71105471,03","71412917,46","71839150,53","72155984,47","73053574,96","73542404,92","74163008,58","74695233,23","75345928,35","76533011,73","78991695,77"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,600,relative,"21,12","20,41","20,56","20,76","20,95","20,99","21,05","21,3","21,61","21,84","21,97","22,11","22,4","22,67","22,91","22,94","23,09","23,44","23,76","24,08","24,29","24,51","24,64","24,69","24,72","24,82","24,97","25,01","25,12","25,27","25,41","25,77","25,97","26,2","26,48","26,81","27,39","28,56"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,600,value,"90239456,22","87031465,56","87226702,69","87557881,78","87920038,33","87885081,86","87835209,45","88424050,24","89294683,02","89762799,65","89704512,93","89763655,15","90453646,36","91063475,44","91491207,9","91246697,28","91374066,59","92239492,51","92790066,15","93330080,92","93639416,73","94068591,39","94264525,11","94137163,38","94043743,65","94340624,09","94805376,95","94849284,17","95121779,08","95568537,89","95910563,08","97038695,89","97629261,35","98309367,98","99018219,16","99962963,86","101653447,8","105395565,4"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,1000,relative,"26,32","25,33","25,49","25,71","25,96","25,99","25,98","26,28","26,67","26,99","27,14","27,32","27,63","27,97","28,19","28,12","28,25","28,62","28,97","29,34","29,59","29,8","29,9","29,88","29,89","29,99","30,13","30,15","30,26","30,43","30,6","31,01","31,24","31,46","31,8","32,19","32,93","34,54"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,1000,value,"112448826,7","108004622,7","108126023,3","108440277,2","108972230,9","108812398,7","108416063,9","109065996,6","110217871,9","110946235,8","110827374,6","110922600,7","111574184,1","112326526,4","112560364,5","111854022,8","111832052,9","112627946,9","113143174,5","113736635,5","114063604,5",114400998,"114383281,8","113938689,2",113722049,"113991800,1",114383379,114383503,"114597292,9","115065645,6","115474265,6","116778399,3","117430814,8","118052289,1","118907377,9","120016314,4","122215053,8","127465668,9"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,30,relative,"10,15","10,15","10,11","10,2","10,26","10,33","10,42","10,5","10,51","10,57","10,59","10,59","10,56","10,54","10,54","10,58","10,64","10,68","10,75","10,89","10,99","11,03","11,13","11,17","11,2","11,24","11,34","11,43","11,61","11,77","11,9","11,98","12,06","12,31","12,35","12,45","12,54","12,7"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,30,value,"13539454,83","13619118,53","13471415,28",13451385,"13383963,41","13334077,85","13326222,63","13261718,48","13131375,69","13122818,54","13058698,28","12993995,9","12898340,72","12774550,44","12685265,69","12651996,45","12614712,61","12546759,71","12494263,13","12511494,89","12528331,01","12536383,62","12608233,82","12632824,86","12638755,87","12646460,6","12722686,45","12727593,96","12834241,22","12915785,23","12998411,62","13016858,91","13048471,72","13257826,26","13225945,48","13241215,46","13234062,99","13275624,07"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,60,relative,"17,79","17,74","17,69","17,86","17,98","18,11","18,27","18,39","18,42","18,5","18,55","18,56","18,52","18,5","18,52","18,59","18,69","18,77","18,9","19,13","19,3","19,38","19,54","19,62","19,68","19,74","19,92","20,1","20,41","20,69","20,88",21,"21,14","21,51","21,58","21,74","21,89","22,18"
1,Brasil,,,1120,4,Natural,1. Forest,Savanna Formation,Savanna Formation,Savanna Formation,#00ff00,1,60,value,"23730978,13","23797780,53","23572087,38","23562309,43","23456471,57","23362709,14","23362843,9","23230885,84","23018555,73","22980715,58","22876173,93","22770759,24","22624501,07","22427531,56","22285564,39","22226522,69","22149444,95","22041822,36","21968315,05","21967559,83","22002972,47","22033828,74","22140407,55","22191097,55","22210087,83","22214793,77","22352114,28","22379778,6","22562836,89","22696904,51","22808918,19","22823619,09","22871158,37","23164381,47","23102757,89","23117290,36","23094697,52","23178445,28"
